epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15209,1.9793,3.98501,1.48577,0.0024,0.19167,0.17815,0.11944,1.5534,3.81851,1.20018,0.00012221,0.00012221,0.00012221
2,12.9015,1.76297,3.26663,1.30093,0.00281,0.40606,0.21071,0.14114,1.48377,3.746,1.1448,0.000250471,0.000250471,0.000250471
3,17.7991,1.76606,2.6988,1.33884,0.00295,0.41818,0.21436,0.14234,1.50429,3.7473,1.19039,0.000373452,0.000373452,0.000373452
4,22.8791,1.68196,2.2797,1.28427,0.00308,0.41818,0.26366,0.18357,1.53718,3.58763,1.15446,0.000491153,0.000491153,0.000491153
5,27.782,1.64994,2.07606,1.23104,1,0.09101,0.38461,0.25181,1.50262,3.2817,1.13229,0.000603575,0.000603575,0.000603575
6,32.044,1.61481,1.8624,1.28977,0.99933,0.2,0.381,0.24348,1.57866,3.01291,1.19386,0.000710718,0.000710718,0.000710718
7,37.0923,1.61093,1.69604,1.22612,0.99724,0.2,0.67823,0.45162,1.48125,2.66598,1.19347,0.000812581,0.000812581,0.000812581
