epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,59.8684,0.43492,0.51599,0.70484,0.89997,0,0.99573,1,0.995,0.953,0.99573,1,0.995,0.995,0.31985,0.45419,0.66519,0.94697,0,0.00128225,0.00128225,0.00128225
31,62.139,0.48386,0.5038,0.71839,0.9019,0,0.99573,1,0.995,0.953,0.99573,1,0.995,0.995,0.31985,0.45419,0.66519,0.94697,0,0.0012575,0.0012575,0.0012575
32,64.3494,0.449,0.46544,0.68499,0.90814,0,0.99587,1,0.995,0.901,0.99587,1,0.995,0.995,0.46329,0.37862,0.68076,0.99115,0,0.00123275,0.00123275,0.00123275
33,66.5331,0.50452,0.53998,0.672,0.88678,0,0.99567,1,0.995,0.90242,0.99567,1,0.995,0.995,0.45912,0.32314,0.59045,0.99811,0,0.001208,0.001208,0.001208
34,68.6364,0.40855,0.51515,0.65644,0.88702,0,0.99581,1,0.995,0.95608,0.99581,1,0.995,0.995,0.33953,0.32434,0.70646,0.96759,0,0.00118325,0.00118325,0.00118325
35,70.5472,0.4357,0.49967,0.61074,0.88219,0,0.99581,1,0.995,0.95608,0.99581,1,0.995,0.995,0.33953,0.32434,0.70646,0.96759,0,0.0011585,0.0011585,0.0011585
36,72.7003,0.40191,0.44369,0.60362,0.86997,0,0.99591,1,0.995,0.95753,0.99591,1,0.995,0.995,0.32204,0.31524,0.63752,0.9482,0,0.00113375,0.00113375,0.00113375
37,74.7101,0.35847,0.40957,0.57578,0.8718,0,0.99589,1,0.995,0.96508,0.99589,1,0.995,0.995,0.3026,0.30343,0.5698,0.9361,0,0.001109,0.001109,0.001109
38,76.7197,0.40492,0.44661,0.61714,0.89383,0,0.99584,1,0.995,0.92963,0.99584,1,0.995,0.995,0.35044,0.29818,0.53838,0.951,0,0.00108425,0.00108425,0.00108425
39,79.0187,0.39741,0.53489,0.59678,0.90323,0,0.99584,1,0.995,0.92963,0.99584,1,0.995,0.995,0.35044,0.29818,0.53838,0.951,0,0.0010595,0.0010595,0.0010595
40,81.1206,0.39779,0.45126,0.59512,0.89557,0,0.99581,1,0.995,0.94325,0.99581,1,0.995,0.995,0.31927,0.30321,0.50134,0.9377,0,0.00103475,0.00103475,0.00103475
41,83.3964,0.40922,0.46116,0.60704,0.85874,0,0.99582,1,0.995,0.97937,0.99582,1,0.995,0.995,0.26795,0.31557,0.46236,0.918,0,0.00101,0.00101,0.00101
42,85.7106,0.40519,0.43884,0.55885,0.87733,0,0.99583,1,0.995,0.98142,0.99583,1,0.995,0.995,0.27315,0.31508,0.43354,0.92097,0,0.00098525,0.00098525,0.00098525
43,88.1799,0.38984,0.43335,0.54442,0.88743,0,0.99583,1,0.995,0.98142,0.99583,1,0.995,0.995,0.27315,0.31508,0.43354,0.92097,0,0.0009605,0.0009605,0.0009605
44,90.8756,0.40179,0.45238,0.58512,0.86179,0,0.99573,1,0.995,0.98558,0.99573,1,0.995,0.98558,0.28486,0.33958,0.39524,0.9201,0,0.00093575,0.00093575,0.00093575
45,93.2971,0.39242,0.45764,0.57974,0.87861,0,0.99574,1,0.995,0.9504,0.99574,1,0.995,0.987,0.32734,0.35366,0.42079,0.92981,0,0.000911,0.000911,0.000911
46,95.9604,0.40529,0.39503,0.55027,0.88094,0,0.99566,1,0.995,0.95733,0.99566,1,0.995,0.987,0.27616,0.34466,0.37281,0.91625,0,0.00088625,0.00088625,0.00088625
47,98.6934,0.38767,0.448,0.54165,0.85684,0,0.99566,1,0.995,0.95733,0.99566,1,0.995,0.987,0.27616,0.34466,0.37281,0.91625,0,0.0008615,0.0008615,0.0008615
48,101.075,0.38236,0.44426,0.56063,0.85689,0,0.99586,1,0.995,0.95833,0.99586,1,0.995,0.987,0.22995,0.3322,0.30757,0.91,0,0.00083675,0.00083675,0.00083675
49,103.751,0.37129,0.42957,0.50829,0.88964,0,0.99593,1,0.995,0.97271,0.99593,1,0.995,0.97617,0.23744,0.34816,0.33042,0.91961,0,0.000812,0.000812,0.000812
50,106.269,0.34891,0.38445,0.50736,0.87198,0,0.99595,1,0.995,0.93374,0.99595,1,0.995,0.9835,0.31684,0.3038,0.37069,0.93582,0,0.00078725,0.00078725,0.00078725
51,108.858,0.38786,0.48156,0.53744,0.87869,0,0.99595,1,0.995,0.93374,0.99595,1,0.995,0.9835,0.31684,0.3038,0.37069,0.93582,0,0.0007625,0.0007625,0.0007625
52,111.623,0.3621,0.4107,0.51356,0.87575,0,0.99584,1,0.995,0.95433,0.99584,1,0.995,0.995,0.30114,0.27801,0.37921,0.92355,0,0.00073775,0.00073775,0.00073775
53,114.073,0.32616,0.36749,0.48097,0.8549,0,0.99583,1,0.995,0.98633,0.99583,1,0.995,0.995,0.2856,0.30112,0.36696,0.92358,0,0.000713,0.000713,0.000713
54,116.191,0.33395,0.41251,0.48576,0.81929,0,0.9958,1,0.995,0.98633,0.9958,1,0.995,0.995,0.26858,0.30369,0.34234,0.91478,0,0.00068825,0.00068825,0.00068825
