epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0057,1.72638,3.99215,1.27858,0.03211,0.37122,0.13141,0.07694,1.29765,3.82729,1.07817,0.00025553,0.00025553,0.00025553
2,18.9374,1.46946,2.74148,1.15817,0.00635,0.23333,0.19019,0.12801,1.18378,3.58299,1.05361,0.000517001,0.000517001,0.000517001
3,26.6873,1.35826,2.13017,1.10991,0.99129,0.2,0.42019,0.29364,1.28342,2.98301,1.09136,0.000773192,0.000773192,0.000773192
4,34.9106,1.34335,1.7488,1.07196,0.9483,0.33789,0.466,0.31578,1.37476,2.36949,1.11118,0.0010241,0.0010241,0.0010241
5,42.4216,1.22014,1.47215,1.06112,0.91687,0.45555,0.51712,0.34346,1.2684,1.7299,1.0901,0.001067,0.001067,0.001067
6,55.5332,1.22563,1.48636,1.06425,0.88748,0.51106,0.55382,0.3645,1.19344,1.30487,1.10925,0.00105601,0.00105601,0.00105601
7,67.777,1.2213,1.36085,1.08337,0.64298,0.55666,0.65858,0.40516,1.13757,1.26634,1.07496,0.00104501,0.00104501,0.00104501
8,81.4751,1.18166,1.26688,1.05515,0.63284,0.73411,0.71513,0.43907,1.08089,1.01812,1.05153,0.00103401,0.00103401,0.00103401
9,94.2831,1.12985,1.18505,1.04078,0.64904,0.77795,0.72279,0.44489,1.07282,1.10938,1.05373,0.00102301,0.00102301,0.00102301
10,107.309,1.10202,1.14506,1.03069,0.6564,0.77916,0.76491,0.46441,1.08721,0.95949,1.0338,0.00101201,0.00101201,0.00101201
11,120.425,1.07711,1.14387,1.03595,0.63261,0.76945,0.75612,0.45653,1.07766,0.92768,1.03917,0.00100101,0.00100101,0.00100101
12,133.675,1.04009,1.04923,1.00632,0.81912,0.76153,0.82056,0.48881,1.02046,0.80785,1.01924,0.000990012,0.000990012,0.000990012
13,148.541,1.05561,1.04231,1.01236,0.77565,0.76572,0.83324,0.48913,1.0765,0.7922,1.02879,0.000979013,0.000979013,0.000979013
