epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.20913843874811544,0.9021372328458943,0.09784361669939691,0.9703787026621672,0.9604707114515614
2,0.06914823715437803,0.9680352455943008,0.04343028027560097,0.9771278590176228,0.9491089464701894
3,0.04515068036621771,0.9793775778027747,0.036003005971980535,0.9883764529433821,0.982441966955643
4,0.03877599520471197,0.9814398200224972,0.02498472623602478,0.9872515935508062,0.9751481934625094
5,0.0331320361219232,0.9843457067866517,0.037118030176332126,0.983127109111361,0.9489046431191723
6,0.02336362405897673,0.9887514060742407,0.0418442449732193,0.989501312335958,0.9796885775757399
7,0.023257717100835646,0.989220097487814,0.012004268984930164,0.9917510311211098,0.9841382903572331
8,0.025476290237816435,0.9870641169853769,0.016676967483772336,0.9917510311211098,0.980264690242907
9,0.019982621614288022,0.9911886014248219,0.010684303223477753,0.9936257967754031,0.9878847206074824
10,0.01794941247593476,0.9899700037495313,0.008506884308825909,0.9951256092988376,0.9957438765771802
11,0.024816972476978137,0.9902512185976753,0.008611712630951297,0.9940007499062617,0.9880579285379865
12,0.017037382769811496,0.9920322459692539,0.00567007352771565,0.9977502812148481,0.9987177014338744
13,0.007797992449267067,0.9963442069741283,0.005532678680523761,0.9962504686914135,0.9978630659190946
14,0.015006008554308668,0.9938132733408324,0.0041639205608042015,0.9977502812148481,0.9943721388248277
15,0.006822470669855685,0.9962504686914135,0.004449650297188635,0.9981252343457068,0.9974725138222577
16,0.005727360202443032,0.9974690663667042,0.010237341513551693,0.995875515560555,0.9961712817717745
17,0.00729706998222012,0.9964379452568429,0.008371362563210076,0.9951256092988376,0.9928891233897091
18,0.012124923350867655,0.9940944881889764,0.0021664203473471207,0.9985001874765654,0.9991451342892496
19,0.0033755458826440123,0.9984064491938508,0.0036974364728745413,0.9973753280839895,0.9985042258825413
20,0.003027598018715047,0.9984064491938508,0.001561174319186997,0.9988751406074241,0.9993588158319262
21,0.0025743747318256404,0.9987814023247095,0.003150911174817929,0.9977502812148481,0.9987178395514567
22,0.001916208919922985,0.9992500937382827,0.001417923349698607,0.9988751406074241,0.9993588158319262
23,0.005702856501297593,0.9972815898012748,0.003338388334327689,0.9970003749531309,0.9968313770250415
24,0.0023332660755862886,0.9985939257592801,0.0021494352212963613,0.9988751406074241,0.9993588158319262
25,0.0022937606097268907,0.9988751406074241,0.0019172403789296055,0.9985001874765654,0.9991451342892496
26,0.0016491042345658888,0.9993438320209974,0.0026528540527317804,0.9985001874765654,0.9991450409463148
27,0.0012147425118932255,0.9995313085864267,0.0014089508286584675,0.9988751406074241,0.9993587453502896
28,0.0009621756243005983,0.999718785151856,0.0016137616976276375,0.9992500937382827,0.9995725204731574
29,0.0013884055358322808,0.9992500937382827,0.0017851714245786187,0.9992500937382827,0.9995725204731574
30,0.0009981500851580566,0.9996250468691413,0.0009823272078170618,0.9992500937382827,0.9995725204731574
31,0.0012961712337174662,0.9995313085864267,0.0013571827463162444,0.9985001874765654,0.9991451342892496
32,0.0011785862437719329,0.9995313085864267,0.000499740659081734,1.0,1.0
33,0.0007442082704020783,0.999718785151856,0.001200930387269528,0.9992500937382827,0.9995725204731574
34,0.0008968281072334298,0.999437570303712,0.0012165251176715671,0.9988751406074241,0.9993588158319262
35,0.0011112451906300966,0.9992500937382827,0.0010345710514606207,0.9996250468691413,0.9997862484500966
36,0.0011035991121438877,0.9996250468691413,0.0009136389664850822,0.9988751406074241,0.9993588158319262
37,0.0017094770960674687,0.9990626171728534,0.002032175775091855,0.9985001874765654,0.9991450409463148
38,0.0007455260441217522,0.9995313085864267,0.0010264940754882625,0.9988751406074241,0.9993588158319262
39,0.0004878911008760836,0.9999062617172854,0.0003084166919394434,1.0,1.0
40,0.0008774748786163263,0.9996250468691413,0.0007200321855638776,0.9992500937382827,0.9995725204731574
41,0.0011398005644980445,0.9992500937382827,0.0009210300515956919,0.9996250468691413,0.9997862484500966
42,0.000472090042004022,0.9999062617172854,0.0008058454549054819,0.9992500937382827,0.9995725204731574
43,0.00047603620743196716,0.9998125234345707,0.0005459575173728554,0.9996250468691413,0.9997862484500966
44,0.0005153859059541459,1.0,0.0005306701740234015,0.9996250468691413,0.9997862484500966
