epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,559.423,0.82838,0.58581,0.93937,0.88803,0.93461,0.9147,0.60579,0.83932,0.50808,0.97265,0.000660045,0.000660045,0.000660045
43,573.599,0.82002,0.58784,0.92078,0.84711,0.92329,0.92328,0.60951,0.84862,0.50558,0.97943,0.000649046,0.000649046,0.000649046
44,587.373,0.80589,0.57578,0.93377,0.88773,0.81096,0.91261,0.59608,0.85046,0.51402,0.97012,0.000638047,0.000638047,0.000638047
45,602.749,0.78476,0.55685,0.92877,0.86747,0.93175,0.89342,0.6026,0.81197,0.45888,0.94922,0.000627048,0.000627048,0.000627048
46,616.582,0.79723,0.56188,0.93032,0.83705,0.8857,0.90174,0.60485,0.86269,0.52671,0.96968,0.000616049,0.000616049,0.000616049
47,630.883,0.76491,0.54605,0.92387,0.89267,0.92063,0.92275,0.62398,0.83255,0.4927,0.95793,0.000605051,0.000605051,0.000605051
48,641.799,0.77043,0.55483,0.91024,0.82326,0.9095,0.92359,0.62584,0.86501,0.50259,0.96171,0.000594052,0.000594052,0.000594052
49,654.387,0.76462,0.54547,0.92035,0.95289,0.85303,0.88019,0.58002,0.83691,0.5015,0.95759,0.000583053,0.000583053,0.000583053
50,673.041,0.79653,0.54966,0.91667,0.93628,0.80635,0.89545,0.5864,0.81036,0.48793,0.9494,0.000572054,0.000572054,0.000572054
51,690.868,0.77745,0.55275,0.91378,0.85204,0.94286,0.92433,0.60086,0.87905,0.5058,0.9539,0.000561055,0.000561055,0.000561055
52,708.996,0.7888,0.55415,0.92468,0.90007,0.92732,0.9257,0.62114,0.85951,0.49296,0.9607,0.000550056,0.000550056,0.000550056
53,728.768,0.76848,0.55706,0.92707,0.90471,0.92566,0.92414,0.59647,0.88321,0.48967,0.97366,0.000539057,0.000539057,0.000539057
