epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7227,1.09301,3.05499,2.57387,1.4168,0,0.00326,1,0.98708,0.93954,0.00326,1,0.98708,0.86192,0.25105,1.22046,2.47112,0.89754,0,0.00046,0.00046,0.00046
2,35.4517,0.56294,0.87379,1.34992,0.95112,0,0.9726,0.75525,0.98396,0.87437,0.9726,0.75525,0.98396,0.87919,0.49575,1.27916,2.1242,0.99552,0,0.000928368,0.000928368,0.000928368
3,52.4773,0.59742,0.75828,1.01832,0.96036,0,0.97749,1,0.98,0.86451,0.97749,1,0.98,0.85938,0.50815,1.88014,1.5152,1.11829,0,0.00138485,0.00138485,0.00138485
4,69.687,0.52508,0.72297,0.86813,0.91002,0,0.97797,1,0.97917,0.85862,0.97797,1,0.97917,0.90344,0.54844,0.90034,1.03523,1.15496,0,0.00182946,0.00182946,0.00182946
5,87.0322,0.48733,0.59616,0.77891,0.9078,0,0.97785,1,0.98312,0.86445,0.97785,1,0.98312,0.95624,0.50996,0.51673,1.27627,1.01598,0,0.001901,0.001901,0.001901
6,104.081,0.48573,0.60557,0.80225,0.91202,0,0.97797,1,0.97958,0.85846,0.97797,1,0.97958,0.96884,0.45871,0.40367,1.19367,0.98569,0,0.00187625,0.00187625,0.00187625
7,121.198,0.44374,0.48741,0.70776,0.89539,0,0.9778,1,0.97479,0.96487,0.9778,1,0.97479,0.96909,0.32572,0.3899,0.73861,0.92284,0,0.0018515,0.0018515,0.0018515
8,137.781,0.4658,0.44604,0.65596,0.89492,0,0.97749,1,0.97875,0.92514,0.97749,1,0.97875,0.97323,0.36125,0.32726,0.69154,0.93106,0,0.00182675,0.00182675,0.00182675
9,151.943,0.42249,0.48544,0.62934,0.88445,0,0.97807,1,0.97958,0.95246,0.97807,1,0.97958,0.97345,0.26894,0.32411,0.4958,0.88552,0,0.001802,0.001802,0.001802
10,167.619,0.40217,0.43608,0.59539,0.88232,0,0.97806,1,0.98312,0.96749,0.97806,1,0.98312,0.9736,0.31362,0.3378,0.50718,0.89829,0,0.00177725,0.00177725,0.00177725
