epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.3904,1.0462,1.00302,0.96696,0.76148,0.76,0.78838,0.55984,1.12877,0.83979,1.01242,0.000660045,0.000660045,0.000660045
43,72.9538,0.98729,1.01655,0.95559,0.76148,0.76,0.78838,0.55984,1.12877,0.83979,1.01242,0.000649046,0.000649046,0.000649046
44,74.495,0.95269,0.94564,0.96581,0.77532,0.76,0.79211,0.53016,1.13154,0.79439,1.00911,0.000638047,0.000638047,0.000638047
45,76.0202,0.96902,1.0055,0.97209,0.98173,0.75657,0.79034,0.53457,1.12788,0.7931,1.00955,0.000627048,0.000627048,0.000627048
46,77.5203,1.00063,0.96429,0.93572,0.97552,0.76,0.78528,0.54959,1.11201,0.80022,1.01003,0.000616049,0.000616049,0.000616049
47,79.0939,1.00069,0.95656,0.94961,0.97552,0.76,0.78528,0.54959,1.11201,0.80022,1.01003,0.000605051,0.000605051,0.000605051
48,80.612,0.94819,0.97264,0.95119,0.96051,0.76,0.77956,0.54632,1.07157,0.79986,0.99261,0.000594052,0.000594052,0.000594052
49,82.1953,0.93589,0.93028,0.94243,0.9638,0.76,0.78375,0.55045,1.06844,0.80898,0.99597,0.000583053,0.000583053,0.000583053
50,83.7682,0.96306,0.91901,0.96961,0.96666,0.76,0.79694,0.58187,1.07251,0.78884,1.00245,0.000572054,0.000572054,0.000572054
51,85.2814,0.92373,0.89403,0.92982,0.96666,0.76,0.79694,0.58187,1.07251,0.78884,1.00245,0.000561055,0.000561055,0.000561055
52,86.893,0.98555,0.9237,0.96084,0.97389,0.7553,0.83141,0.59383,1.08113,0.77053,1.01147,0.000550056,0.000550056,0.000550056
53,88.7055,0.92753,0.85826,0.93038,0.95005,0.76,0.79104,0.57072,1.10514,0.75427,1.01249,0.000539057,0.000539057,0.000539057
54,90.5831,0.86966,0.8214,0.91742,0.9433,0.76,0.78628,0.54462,1.11437,0.75487,1.01282,0.000528058,0.000528058,0.000528058
55,92.5187,0.88339,0.91153,0.95046,0.9433,0.76,0.78628,0.54462,1.11437,0.75487,1.01282,0.000517059,0.000517059,0.000517059
56,94.9905,0.92536,0.89632,0.92406,0.93329,0.76,0.78,0.54653,1.11298,0.74301,1.00619,0.00050606,0.00050606,0.00050606
57,97.2856,0.9129,0.89281,0.92373,0.94393,0.76,0.78019,0.55277,1.1035,0.75675,0.99715,0.000495062,0.000495062,0.000495062
58,99.1492,0.88529,0.87017,0.92842,0.93034,0.76,0.75474,0.53301,1.12638,0.75294,1.00541,0.000484063,0.000484063,0.000484063
