epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15411,2.12683,6.86069,3.17127,2.30627,0,0.00333,1,0.7346,0.24241,0.0025,0.75,0.13319,0.04605,1.34079,4.99042,2.88958,1.74919,0,0.0001,0.0001,0.0001
2,5.16081,1.46375,4.71902,3.03694,1.77,0,0.00333,1,0.82031,0.56241,0.00333,1,0.82311,0.47053,0.67737,2.43396,2.62317,1.20024,0,0.000217278,0.000217278,0.000217278
3,7.3614,0.63501,1.44179,2.3737,1.05598,0,0.00333,1,0.995,0.91102,0.00333,1,0.995,0.72854,0.32616,1.78891,2.53007,0.95417,0,0.000331585,0.000331585,0.000331585
