epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,427.909,0.27943,0.31924,0.25998,0.84961,0,0.98247,1,0.986,0.98052,0.98247,1,0.986,0.986,0.19986,0.26752,0.24827,0.88783,0,0.00128225,0.00128225,0.00128225
31,441.995,0.27708,0.34253,0.26475,0.85325,0,0.98247,1,0.98183,0.97393,0.98247,1,0.98183,0.97958,0.18836,0.28215,0.1903,0.88785,0,0.0012575,0.0012575,0.0012575
32,458.513,0.28757,0.33582,0.2726,0.85859,0,0.98246,1,0.99483,0.97768,0.98246,1,0.99483,0.99299,0.24014,0.23558,0.24138,0.9052,0,0.00123275,0.00123275,0.00123275
33,470.606,0.28586,0.30328,0.26695,0.85348,0,0.98246,1,0.98233,0.97171,0.98246,1,0.98233,0.98233,0.22498,0.25397,0.24554,0.89559,0,0.001208,0.001208,0.001208
34,483.101,0.279,0.30257,0.25149,0.83914,0,0.98247,1,0.98217,0.95528,0.98247,1,0.98217,0.98217,0.25728,0.25372,0.18289,0.89845,0,0.00118325,0.00118325,0.00118325
35,494.916,0.27743,0.29324,0.24165,0.83778,0,0.98247,1,0.98483,0.97737,0.98247,1,0.98483,0.98373,0.18723,0.23732,0.18653,0.8845,0,0.0011585,0.0011585,0.0011585
36,507.14,0.28723,0.32512,0.26347,0.85927,0,0.98247,1,0.98217,0.98217,0.98247,1,0.98217,0.98217,0.18821,0.2365,0.23704,0.8869,0,0.00113375,0.00113375,0.00113375
37,518.466,0.2833,0.28956,0.25775,0.85364,0,0.98246,1,0.98233,0.95907,0.98246,1,0.98233,0.98075,0.22499,0.23885,0.19921,0.89603,0,0.001109,0.001109,0.001109
38,530.485,0.27477,0.31921,0.23668,0.83859,0,0.9825,1,0.98883,0.97265,0.9825,1,0.98883,0.98684,0.17958,0.24548,0.20206,0.88664,0,0.00108425,0.00108425,0.00108425
39,545.581,0.25698,0.28823,0.23055,0.84446,0,0.98248,1,0.98317,0.97211,0.98248,1,0.98317,0.98317,0.18679,0.24258,0.16539,0.88537,0,0.0010595,0.0010595,0.0010595
40,565.277,0.27896,0.29528,0.24881,0.84678,0,0.98248,1,0.98217,0.96647,0.98248,1,0.98217,0.98041,0.1894,0.24759,0.18359,0.89097,0,0.00103475,0.00103475,0.00103475
41,580.305,0.26151,0.31513,0.23301,0.83623,0,0.98248,1,0.98767,0.9775,0.98248,1,0.98767,0.98767,0.19676,0.2729,0.17901,0.89109,0,0.00101,0.00101,0.00101
42,594.436,0.25751,0.29835,0.22499,0.84409,0,0.98249,1,0.98217,0.97288,0.98249,1,0.98217,0.98217,0.18263,0.26321,0.18233,0.88598,0,0.00098525,0.00098525,0.00098525
43,611.165,0.27553,0.30923,0.23876,0.8482,0,0.98246,1,0.98383,0.9772,0.98246,1,0.98383,0.98142,0.19604,0.24518,0.16506,0.8841,0,0.0009605,0.0009605,0.0009605
44,627.503,0.265,0.2978,0.23329,0.84513,0,0.98247,1,0.98117,0.97031,0.98247,1,0.98117,0.97282,0.17206,0.25279,0.20738,0.88456,0,0.00093575,0.00093575,0.00093575
45,640.996,0.2431,0.283,0.22154,0.84341,0,0.98248,1,0.98433,0.94829,0.98248,1,0.98433,0.98433,0.2159,0.23048,0.17863,0.89393,0,0.000911,0.000911,0.000911
46,654.571,0.24913,0.2855,0.21852,0.84196,0,0.98249,1,0.98483,0.97766,0.98249,1,0.98483,0.98365,0.16575,0.23049,0.15233,0.88324,0,0.00088625,0.00088625,0.00088625
47,670.099,0.24597,0.27812,0.22285,0.84934,0,0.98249,1,0.98467,0.97237,0.98249,1,0.98467,0.98282,0.16193,0.24124,0.1501,0.88378,0,0.0008615,0.0008615,0.0008615
48,683.532,0.25787,0.29692,0.22152,0.83475,0,0.98247,1,0.984,0.97143,0.98247,1,0.984,0.98211,0.17577,0.22697,0.14366,0.88773,0,0.00083675,0.00083675,0.00083675
49,698.221,0.25135,0.29455,0.2091,0.85041,0,0.98249,1,0.9855,0.981,0.98249,1,0.9855,0.9855,0.19463,0.23698,0.15993,0.88746,0,0.000812,0.000812,0.000812
50,711.518,0.25773,0.30734,0.21555,0.85083,0,0.98248,1,0.99117,0.98404,0.98248,1,0.99117,0.98694,0.16636,0.23512,0.15392,0.88303,0,0.00078725,0.00078725,0.00078725
51,724.678,0.25516,0.30197,0.21146,0.84029,0,0.98249,1,0.98883,0.98459,0.98249,1,0.98883,0.98765,0.18184,0.22436,0.19316,0.88811,0,0.0007625,0.0007625,0.0007625
52,739.25,0.23711,0.29946,0.20616,0.8387,0,0.98248,1,0.99167,0.98268,0.98248,1,0.99167,0.99167,0.18382,0.24482,0.16354,0.88706,0,0.00073775,0.00073775,0.00073775
53,755.179,0.25847,0.30576,0.2234,0.84774,0,0.98248,1,0.9895,0.98265,0.98248,1,0.9895,0.98697,0.20571,0.22135,0.16529,0.88679,0,0.000713,0.000713,0.000713
54,771.715,0.24109,0.31808,0.20372,0.8412,0,0.98247,1,0.99317,0.98475,0.98247,1,0.99317,0.99055,0.18624,0.22563,0.15386,0.88545,0,0.00068825,0.00068825,0.00068825
55,786.71,0.25056,0.29327,0.20014,0.83929,0,0.98248,1,0.97983,0.97385,0.98248,1,0.97983,0.97983,0.18802,0.2277,0.19165,0.88564,0,0.0006635,0.0006635,0.0006635
56,799.453,0.21715,0.25506,0.18971,0.83125,0,0.98248,1,0.979,0.96948,0.98248,1,0.979,0.979,0.17593,0.2262,0.17211,0.88497,0,0.00063875,0.00063875,0.00063875
57,812.494,0.23611,0.27275,0.20077,0.83412,0,0.98248,1,0.98183,0.97091,0.98248,1,0.98183,0.98183,0.1711,0.23888,0.22083,0.88737,0,0.000614,0.000614,0.000614
58,824.962,0.22557,0.26019,0.19121,0.83596,0,0.98248,1,0.9815,0.97312,0.98248,1,0.9815,0.9815,0.17699,0.22188,0.15703,0.88774,0,0.00058925,0.00058925,0.00058925
59,844.978,0.24112,0.26635,0.19965,0.83462,0,0.98247,1,0.98583,0.97518,0.98247,1,0.98583,0.98583,0.17521,0.23118,0.14093,0.88515,0,0.0005645,0.0005645,0.0005645
60,863.2,0.24622,0.28134,0.19721,0.84214,0,0.98248,1,0.97842,0.97274,0.98248,1,0.97842,0.97842,0.15732,0.22656,0.14241,0.8814,0,0.00053975,0.00053975,0.00053975
61,878.146,0.23612,0.27669,0.20513,0.83515,0,0.98248,1,0.97867,0.96403,0.98248,1,0.97867,0.97607,0.17654,0.22743,0.155,0.8872,0,0.000515,0.000515,0.000515
62,890.48,0.2296,0.26579,0.19007,0.84322,0,0.98246,1,0.98217,0.97017,0.98246,1,0.98217,0.98077,0.15451,0.21876,0.1387,0.88233,0,0.00049025,0.00049025,0.00049025
63,904.35,0.2126,0.25786,0.17658,0.82985,0,0.98246,1,0.98267,0.97335,0.98246,1,0.98267,0.98267,0.15199,0.22267,0.13711,0.88232,0,0.0004655,0.0004655,0.0004655
64,919.949,0.216,0.26178,0.1765,0.8321,0,0.98249,1,0.98233,0.9723,0.98249,1,0.98233,0.98054,0.14843,0.22231,0.13275,0.87975,0,0.00044075,0.00044075,0.00044075
