epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,158.718,0.8934,2.16256,0.50795,0.58933,1.03262,0.99733,1,0.995,0.74441,0.91422,0.91667,0.90405,0.62515,0.90607,1.5208,0.3039,0.55943,1.07033,0.00133175,0.00133175,0.00133175
29,163.84,0.89222,2.05794,0.50205,0.5732,1.04674,0.99713,1,0.995,0.73112,0.87964,0.91365,0.89111,0.64822,0.8931,1.51907,0.30113,0.4989,1.06919,0.001307,0.001307,0.001307
30,168.991,0.86941,1.8563,0.47693,0.56828,1.01446,0.99691,1,0.995,0.73341,0.91977,0.95552,0.9336,0.67346,0.8986,1.4431,0.29579,0.50686,1.06793,0.00128225,0.00128225,0.00128225
31,174.315,0.83361,2.06287,0.43525,0.55223,1.00316,0.98988,1,0.995,0.73822,0.94836,0.95833,0.93417,0.62034,0.95998,1.41205,0.29513,0.5319,1.07956,0.0012575,0.0012575,0.0012575
32,179.687,0.94551,1.85359,0.50775,0.59531,1.09084,0.99515,1,0.995,0.75364,0.95358,0.95833,0.93583,0.64684,0.85339,1.38991,0.291,0.49029,1.03156,0.00123275,0.00123275,0.00123275
33,185.484,0.85196,1.76691,0.50208,0.57506,1.01179,0.99702,1,0.995,0.76687,0.95548,0.95833,0.94833,0.71272,0.85395,1.42971,0.2792,0.51755,1.01373,0.001208,0.001208,0.001208
34,191.931,0.82095,1.76169,0.43448,0.53664,0.98837,0.99622,1,0.995,0.77374,0.95462,0.95833,0.94833,0.72509,0.92544,1.3549,0.27107,0.51624,1.0422,0.00118325,0.00118325,0.00118325
35,197.339,0.84782,1.92038,0.47272,0.53936,1.01571,0.99597,1,0.995,0.78546,0.95447,0.95833,0.94833,0.73244,0.86869,1.38498,0.25056,0.45961,1.03999,0.0011585,0.0011585,0.0011585
36,202.855,0.85412,1.89079,0.48163,0.54565,1.02849,0.99573,1,0.995,0.75974,0.95416,0.95833,0.95,0.73302,0.86262,1.37414,0.23685,0.47219,1.04183,0.00113375,0.00113375,0.00113375
37,208.457,0.84769,1.64199,0.47343,0.53959,0.99729,0.99458,1,0.995,0.7715,0.91147,0.91667,0.90643,0.70691,0.87962,1.38763,0.22944,0.51336,1.05071,0.001109,0.001109,0.001109
38,214.02,0.85683,1.81057,0.46336,0.54486,1.02848,1,0.99844,0.995,0.76942,0.95572,0.95833,0.95167,0.72072,0.89689,1.33679,0.22749,0.49855,1.04449,0.00108425,0.00108425,0.00108425
39,219.091,0.81893,1.76041,0.44027,0.51006,0.9811,0.99526,1,0.995,0.74123,0.95369,0.95833,0.95167,0.71528,0.92447,1.30549,0.22995,0.52297,1.02571,0.0010595,0.0010595,0.0010595
40,224.518,0.88734,1.95826,0.48694,0.56491,1.02511,0.99408,1,0.995,0.74333,0.95831,0.95833,0.99056,0.73261,0.94131,1.2638,0.22565,0.52472,1.02522,0.00103475,0.00103475,0.00103475
41,230.138,0.80055,1.80351,0.40124,0.52178,0.96719,0.99695,1,0.995,0.80017,0.95739,0.95833,0.955,0.7071,0.81486,1.27244,0.20639,0.46768,0.98488,0.00101,0.00101,0.00101
42,235.51,0.81488,1.63455,0.42591,0.52006,0.98734,0.99653,1,0.995,0.7846,0.95501,0.95833,0.93583,0.64666,0.80837,1.31007,0.20609,0.46526,0.98259,0.00098525,0.00098525,0.00098525
43,241.149,0.83218,1.61497,0.53545,0.54023,1.03567,0.99574,1,0.995,0.7718,0.95425,0.95833,0.92042,0.62343,0.84785,1.26487,0.2079,0.48639,1.01191,0.0009605,0.0009605,0.0009605
44,246.614,0.80738,1.91313,0.44129,0.51091,0.98761,0.99627,1,0.995,0.75688,0.95476,0.95833,0.9275,0.65453,0.86903,1.18915,0.20441,0.47297,1.03673,0.00093575,0.00093575,0.00093575
45,252.019,0.77033,1.49821,0.43052,0.49911,0.99798,0.99695,1,0.995,0.79706,0.95625,0.95833,0.955,0.73301,0.80099,1.18579,0.20329,0.46981,1.02234,0.000911,0.000911,0.000911
46,258.526,0.73068,1.63366,0.37591,0.4772,0.979,0.99697,1,0.995,0.79654,0.99697,1,0.995,0.76985,0.80525,1.19701,0.20178,0.46845,1.02729,0.00088625,0.00088625,0.00088625
47,263.647,0.75426,1.57148,0.41704,0.49013,0.97302,0.99742,1,0.995,0.76458,0.95712,0.95833,0.955,0.77577,0.82788,1.09303,0.20177,0.47115,1.03288,0.0008615,0.0008615,0.0008615
48,269.373,0.77841,1.64932,0.44879,0.48503,0.97819,0.99741,1,0.995,0.75672,0.95665,0.95833,0.955,0.76528,0.83274,1.08624,0.20169,0.47032,1.02288,0.00083675,0.00083675,0.00083675
49,274.527,0.80471,1.59807,0.46242,0.50956,1.0188,0.99674,1,0.995,0.76733,0.95992,0.99796,0.9934,0.74595,0.84633,1.2113,0.18744,0.46691,1.01772,0.000812,0.000812,0.000812
50,280.467,0.78311,1.4165,0.48229,0.48711,1.0021,0.9965,1,0.995,0.7657,0.91988,0.95679,0.9486,0.71479,0.88984,1.2947,0.18464,0.44946,1.03718,0.00078725,0.00078725,0.00078725
51,287.557,0.74659,1.5561,0.49145,0.48459,0.97631,0.99705,1,0.995,0.75346,0.9139,0.91667,0.88833,0.71423,0.86682,1.20686,0.19301,0.47747,1.04178,0.0007625,0.0007625,0.0007625
52,292.438,0.7129,1.49389,0.47782,0.46785,0.97079,0.99658,1,0.995,0.75519,0.95506,0.95833,0.93792,0.69551,0.86051,1.1722,0.1943,0.47849,1.04478,0.00073775,0.00073775,0.00073775
53,297.003,0.7559,1.39468,0.41925,0.46039,0.98298,0.99655,1,0.995,0.74804,0.95495,0.95833,0.97087,0.75594,0.91318,1.07327,0.19168,0.47578,1.06772,0.000713,0.000713,0.000713
54,301.333,0.73012,1.46675,0.46303,0.469,0.97445,0.99681,1,0.995,0.76109,0.99681,1,0.995,0.76569,0.86546,1.05218,0.19209,0.4569,1.02883,0.00068825,0.00068825,0.00068825
55,305.817,0.76807,1.4938,0.48268,0.47026,1.00038,0.99692,1,0.995,0.78491,0.99692,1,0.995,0.77909,0.82565,0.98824,0.18606,0.43762,1.01442,0.0006635,0.0006635,0.0006635
56,310.301,0.69135,1.67782,0.41965,0.45511,0.96388,0.99706,1,0.995,0.78399,0.99706,1,0.995,0.77358,0.82528,0.96699,0.18347,0.42781,1.01781,0.00063875,0.00063875,0.00063875
57,316.403,0.70949,1.38347,0.44974,0.45896,0.96392,0.99753,1,0.995,0.78153,0.99753,1,0.995,0.79468,0.79192,0.9219,0.1804,0.45395,1.01293,0.000614,0.000614,0.000614
58,322.869,0.71186,1.5737,0.43,0.4579,0.9507,0.9975,1,0.995,0.77567,0.9975,1,0.995,0.80137,0.80766,0.91706,0.18083,0.44622,1.01123,0.00058925,0.00058925,0.00058925
59,329.633,0.7227,1.4053,0.4423,0.45594,0.95031,0.99732,1,0.995,0.7779,0.99732,1,0.995,0.78102,0.83279,0.90905,0.18257,0.44262,1.01356,0.0005645,0.0005645,0.0005645
60,335.708,0.72108,1.34617,0.44179,0.44782,0.97575,0.99735,1,0.995,0.7597,0.95574,0.95833,0.99026,0.78004,0.8348,0.9374,0.1788,0.4343,1.00855,0.00053975,0.00053975,0.00053975
61,341.528,0.74106,1.2136,0.45534,0.4345,0.98522,0.99709,1,0.995,0.7768,0.95989,0.99715,0.9918,0.76134,0.85718,0.96794,0.17948,0.44631,1.01744,0.000515,0.000515,0.000515
62,347.318,0.753,1.32596,0.44504,0.45554,0.99616,0.99695,1,0.995,0.77612,0.99695,1,0.995,0.76411,0.86649,0.94896,0.17809,0.44464,1.028,0.00049025,0.00049025,0.00049025
63,353.613,0.66971,1.29582,0.44076,0.43229,0.93465,0.99742,1,0.995,0.7887,0.99742,1,0.995,0.79087,0.79962,0.87082,0.17973,0.45839,1.00886,0.0004655,0.0004655,0.0004655
64,359.66,0.69773,1.14812,0.42777,0.43232,0.96226,0.99753,1,0.995,0.79433,0.99753,1,0.995,0.78049,0.78095,0.8553,0.18089,0.45934,0.99581,0.00044075,0.00044075,0.00044075
65,365.492,0.68714,1.133,0.46106,0.44472,0.9621,0.99763,1,0.995,0.80521,0.99763,1,0.995,0.77142,0.77508,0.82986,0.18229,0.42513,1.00124,0.000416,0.000416,0.000416
66,371.14,0.71116,1.35553,0.42355,0.43666,0.96707,0.9976,1,0.995,0.79465,0.9976,1,0.995,0.75993,0.79192,0.83191,0.18342,0.40983,1.00506,0.00039125,0.00039125,0.00039125
67,376.905,0.67407,1.3658,0.46088,0.42413,0.93151,0.99758,1,0.995,0.78383,0.99758,1,0.995,0.75479,0.83028,0.85502,0.18326,0.41607,1.01878,0.0003665,0.0003665,0.0003665
68,382.66,0.70396,1.17458,0.45962,0.4465,0.96021,0.99759,1,0.995,0.7774,0.99759,1,0.995,0.76593,0.84854,0.86162,0.18249,0.42028,1.01923,0.00034175,0.00034175,0.00034175
69,388.751,0.67036,1.07736,0.43682,0.41071,0.95952,0.9976,1,0.995,0.77484,0.9976,1,0.995,0.77069,0.83007,0.89809,0.18362,0.41572,1.00838,0.000317,0.000317,0.000317
70,395.152,0.67965,1.10082,0.4633,0.44061,0.94539,0.99762,1,0.995,0.79484,0.99762,1,0.995,0.77292,0.80852,0.87734,0.18278,0.4129,1.00088,0.00029225,0.00029225,0.00029225
71,400.714,0.60825,1.03901,0.20485,0.37169,0.87517,0.99769,1,0.995,0.80517,0.99769,1,0.995,0.78047,0.77023,0.82437,0.17986,0.41023,0.99459,0.0002675,0.0002675,0.0002675
72,406.418,0.58051,1.00044,0.19945,0.36416,0.88375,0.99765,1,0.995,0.81131,0.99765,1,0.995,0.78251,0.77933,0.79038,0.1806,0.41185,0.99939,0.00024275,0.00024275,0.00024275
73,412.011,0.58781,1.02606,0.20918,0.37124,0.86196,0.99761,1,0.995,0.80819,0.99761,1,0.995,0.76525,0.79193,0.78964,0.17957,0.40572,1.00479,0.000218,0.000218,0.000218
74,417.259,0.56959,0.93493,0.20809,0.34851,0.87642,0.99758,1,0.995,0.80871,0.99758,1,0.995,0.76922,0.79576,0.7872,0.17758,0.39744,1.00599,0.00019325,0.00019325,0.00019325
75,422.668,0.56706,0.93843,0.20185,0.35548,0.88609,0.99761,1,0.995,0.8065,0.99761,1,0.995,0.79945,0.78942,0.74397,0.17413,0.39183,1.00646,0.0001685,0.0001685,0.0001685
76,428.362,0.57662,0.93603,0.198,0.35401,0.89711,0.99762,1,0.995,0.81161,0.99762,1,0.995,0.803,0.78477,0.72856,0.17376,0.39119,1.0076,0.00014375,0.00014375,0.00014375
77,434.014,0.55709,0.93247,0.19885,0.341,0.87026,0.99766,1,0.995,0.79383,0.99766,1,0.995,0.79732,0.79165,0.71464,0.17355,0.39445,1.0108,0.000119,0.000119,0.000119
78,439.973,0.538,0.89132,0.19997,0.34205,0.88025,0.99766,1,0.995,0.7923,0.99766,1,0.995,0.79695,0.79785,0.7217,0.172,0.39874,1.0161,9.425e-05,9.425e-05,9.425e-05
79,445.63,0.54784,0.90488,0.19625,0.34203,0.89982,0.99765,1,0.995,0.78851,0.99765,1,0.995,0.78291,0.80128,0.71717,0.17044,0.40246,1.01827,6.95e-05,6.95e-05,6.95e-05
80,451.552,0.54851,0.92007,0.19586,0.34397,0.86537,0.99768,1,0.995,0.7896,0.99768,1,0.995,0.78006,0.80237,0.72094,0.1692,0.40181,1.01911,4.475e-05,4.475e-05,4.475e-05
