epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,122.398,0.77249,6.23212,0.61242,0.50207,0.98511,0.99544,1,0.995,0.77749,0.205,0.20833,0.11,0.05335,0.88222,6.59711,0.50868,0.47624,1.06527,0.0006635,0.0006635,0.0006635
29,126.682,0.77989,5.83051,0.58855,0.50206,0.98765,0.99731,1,0.995,0.76265,0.20693,0.20833,0.11,0.05014,0.85525,6.53154,0.49802,0.47779,1.06944,0.000614,0.000614,0.000614
30,130.911,0.84306,5.59522,0.57695,0.51898,1.00205,0.99716,1,0.995,0.76816,0.20709,0.20833,0.11,0.053,0.86567,6.56222,0.49536,0.47838,1.07357,0.0005645,0.0005645,0.0005645
31,135.161,0.71193,5.66942,0.46095,0.46409,0.9423,0.9972,1,0.995,0.7648,0.20727,0.20833,0.11,0.053,0.84342,6.56852,0.49136,0.44995,1.05334,0.000515,0.000515,0.000515
32,139.248,0.6763,5.5698,0.47171,0.43485,0.92916,0.99702,1,0.995,0.78589,0.24873,0.25,0.125,0.05083,0.82896,6.60308,0.491,0.45797,1.04619,0.0004655,0.0004655,0.0004655
33,143.44,0.69477,5.70156,0.46401,0.41857,0.92934,0.9973,1,0.995,0.78934,0.20648,0.20833,0.11,0.04736,0.82863,6.65959,0.49101,0.45984,1.04691,0.000416,0.000416,0.000416
34,147.587,0.63821,5.54737,0.46117,0.4173,0.9145,0.99669,1,0.995,0.79381,0.20639,0.20833,0.11,0.04968,0.82839,6.629,0.48939,0.44931,1.04117,0.0003665,0.0003665,0.0003665
35,151.845,0.66724,5.57052,0.46835,0.41398,0.92749,0.99722,1,0.995,0.79444,0.20758,0.20833,0.11,0.05178,0.80675,6.56425,0.48501,0.44662,1.02611,0.000317,0.000317,0.000317
36,156.047,0.64446,5.34969,0.46433,0.40788,0.91876,0.99722,1,0.995,0.79772,0.20761,0.20833,0.11,0.05708,0.80014,6.54783,0.48384,0.44482,1.01433,0.0002675,0.0002675,0.0002675
37,160.159,0.63829,5.49045,0.45548,0.3991,0.90755,0.99678,1,0.995,0.78608,0.20749,0.20833,0.11,0.05661,0.8028,6.61907,0.48214,0.42909,1.01187,0.000218,0.000218,0.000218
38,164.264,0.63084,5.65972,0.45734,0.40208,0.90751,0.99656,1,0.995,0.7919,0.20746,0.20833,0.11,0.05623,0.79987,6.63686,0.47976,0.42723,1.0139,0.0001685,0.0001685,0.0001685
39,168.505,0.65928,5.48777,0.45019,0.39179,0.92761,0.99478,1,0.995,0.79823,0.20693,0.20833,0.11,0.05665,0.80388,6.63764,0.48139,0.42023,1.02093,0.000119,0.000119,0.000119
40,172.584,0.61213,5.49323,0.44613,0.38541,0.88659,0.99496,1,0.995,0.79447,0.20701,0.20833,0.11,0.05665,0.79645,6.63134,0.48091,0.41541,1.01986,6.95e-05,6.95e-05,6.95e-05
