epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.1521975463553544,0.9304008908685969,0.05284174125763249,0.9755056596771201,0.9581067711692332
2,0.05917872173425416,0.9722067557535263,0.03837111269734422,0.9827426238634255,0.9793192887173849
3,0.04891192620729373,0.9773106904231625,0.036795847579328064,0.9855260716273891,0.9813541508989231
4,0.04212217384972834,0.9807442464736451,0.03860201889285768,0.9745778437557988,0.9533784230951916
5,0.030335360435518672,0.9853841870824054,0.02199312082673189,0.9890517721284098,0.9876856072512048
6,0.033086689660614656,0.983203414996288,0.02164386034018408,0.9897940248654666,0.9847531807613927
7,0.02905424817554437,0.986590571640683,0.026466091722515694,0.9860827611801819,0.9741981554466164
8,0.024452869383495165,0.987750556792873,0.01688357898419369,0.9912785303395806,0.9869853394496786
9,0.03206885925341334,0.9857553823311062,0.03055667128976615,0.9816292447578401,0.9675501405653721
10,0.027444446656808712,0.987054565701559,0.024730843691458438,0.9918352198923733,0.9895859173997558
11,0.020086593577830478,0.9899777282850779,0.015087741663496983,0.9905362776025236,0.9853444518923786
12,0.020095168164866936,0.9900241276911655,0.019987078298883548,0.9905362776025236,0.9833209475712228
13,0.017700704715872196,0.9905345211581291,0.00969289449524182,0.995360920393394,0.9899723596893557
14,0.015083039859786863,0.9926224944320713,0.01257691915936963,0.9961031731304509,0.990145934710316
15,0.020025406686178426,0.9900705270972532,0.008813851750249279,0.9951753572091298,0.9899189382965178
16,0.017012991194710766,0.991601707498144,0.019528295624621682,0.9883095193913528,0.9657263705770313
17,0.019266054815520777,0.9916945063103192,0.019709912274476285,0.9957320467619224,0.9920706611462916
18,0.02004480793651777,0.990441722345954,0.017997134468302346,0.9962887363147152,0.993742664296788
19,0.013190281063002973,0.9933184855233853,0.015264728555715378,0.9942475412878085,0.9867396458915024
20,0.02126172850870907,0.9911841128433556,0.012610702802292142,0.995360920393394,0.9886293214720401
21,0.0103251744169438,0.9942000742390498,0.009565036594822773,0.9972165522360363,0.9936436824682525
22,0.012879510007559446,0.9937360801781737,0.009391493916711444,0.9949897940248654,0.9898061785519545
23,0.01723925030420195,0.9913697104677061,0.023852794304257473,0.9964742994989794,0.9938483684793502
24,0.014810195559312182,0.9931328878990349,0.0122798296248476,0.9940619781035442,0.9905812104497076
25,0.009158598764789336,0.9955456570155902,0.007384336185784487,0.9964742994989794,0.991907211836689
26,0.009935225514365249,0.994988864142539,0.0073610565244151245,0.9961031731304509,0.9898161259732694
27,0.008246298857260033,0.995916852264291,0.01598568618007932,0.994618667656337,0.9910667248038804
28,0.014433292116926266,0.9936896807720861,0.022451268650435587,0.9871961402857673,0.9594227858428712
29,0.008584576997779442,0.995916852264291,0.006435444892802788,0.9983299313416218,0.9956276487345448
30,0.005246839114345898,0.9971232368225686,0.004676424101992084,0.9979588049730933,0.9947545853376999
31,0.005773400375170118,0.9971232368225686,0.007633016991283345,0.9979588049730933,0.9940673499711721
32,0.004268181284353048,0.9979120267260579,0.00614453723072096,0.9983299313416218,0.993649665441064
33,0.004025288743826712,0.9981440237564959,0.006834974149218929,0.9990721840786788,0.9974141890803129
34,0.0038028660513771424,0.9985616184112843,0.005954312087505938,0.9987010577101503,0.9958463926452081
35,0.003258319007514187,0.9984224201930215,0.008836097434322692,0.9990721840786788,0.9967374511236721
36,0.0033708818199770884,0.9982832219747587,0.005193087573472644,0.999257747262943,0.9975131872177889
37,0.008338169733654142,0.9962416481069042,0.007516562199846325,0.9962887363147152,0.9911496532616572
38,0.004912537100577401,0.9976800296956199,0.007233330159693479,0.9987010577101503,0.9958255984658884
39,0.00248489521993473,0.9988400148478099,0.008513741706731802,0.9994433104472072,0.9982982053869194
40,0.0018069384383954143,0.9991648106904232,0.012881230188470726,0.9994433104472072,0.9982982053869194
41,0.002273084758074367,0.9992112100965108,0.004654827977217712,0.9996288736314716,0.9990983654209266
42,0.001552980416344182,0.999072011878248,0.011415037178981145,0.9994433104472072,0.9982982053869194
43,0.0016796335330960335,0.9993504083147736,0.00761281728630115,0.9998144368157358,0.9992042557842098
44,0.0016194737535184381,0.999304008908686,0.009865610145003048,0.999257747262943,0.9981923150487501
45,0.0019953609877355442,0.9988864142538976,0.014298587057849107,0.9996288736314716,0.9984040624726013
46,0.0011736981911464517,0.9993968077208611,0.009360298343899266,0.9996288736314716,0.9990983791313743
47,0.001478844916489006,0.9993504083147736,0.009521270291997291,0.9996288736314716,0.9990983654209266
48,0.003184354809272432,0.9982832219747587,0.00904226640545693,0.9987010577101503,0.9978746790366745
49,0.001386953333967297,0.9994896065330364,0.007648816632632751,0.9996288736314716,0.9990983654209266
50,0.0011836420676678357,0.9993968077208611,0.00960881717361918,0.9998144368157358,0.9992042557842098
